0.26,4.11,1.06,0.39,2.09,3.52,1.92,0.54,2.71,4.1,2.25,1.2,0.3,0.32,0.86,0.67,0.74,2.35,0.81
0.58,5.43,1.06,0.38,1.07,3.78,2.69,0.79,2.44,3.97,2.55,1,0.26,0.4,0.78,0.55,0.67,2.45,0.82
0.74,5.47,0.65,1.19,1.19,3.71,3.34,0.97,1.81,4.26,2.47,0.63,0.83,0.59,0.84,0.56,1.61,2.18,0.79
0.39,4.09,0.51,0.85,2.47,2.89,1.21,0.93,2.48,4.1,2.58,1.07,0.52,0.55,0.86,0.96,0.42,2.68,0.79
0.43,4.24,0.26,1.05,1.49,3.37,1.64,3.04,2.03,4.64,2.18,1.03,0.4,0.55,0.82,0.52,1.68,2.38,2.2
0.74,5.42,0.47,0.7,1.98,3.11,1.3,0.76,1.9,4.85,1.89,1.46,0.49,0.39,0.78,0.71,0.69,2.31,2.2
1.07,4.96,0.62,0.37,1.95,3.55,2.48,0.99,3.74,4.53,2.77,1,0.47,0.31,0.92,0.47,1.12,1.72,3.13
0.4,3.94,0.58,1.39,0.91,3.73,2.1,1.11,1.7,5.46,1.93,1.03,0.63,0.68,0.82,0.68,1.07,2.31,2.42
0.38,4.06,0.51,0.95,1.08,3.54,3,0.94,3.06,3.88,2.75,1.24,0.41,0.58,0.79,0.53,0.43,2.2,0.55
0.6,5.87,1.47,1.37,1.45,3.28,2.33,1.34,1.48,3.48,2.37,1.05,0.62,0.31,0.78,0.75,0.8,1.79,0.33
0.94,5.34,0.64,1.12,1.84,3.68,1.88,1.45,1.92,3.72,2.3,1.08,0.49,0.57,0.85,0.23,1.03,2.04,0.84
0.58,5.43,1.06,0.76,0.69,3.78,3,1.74,1.82,3.87,2.5,1.17,0.42,0.31,1.18,0.14,0.65,2.15,0.58
0.29,4.81,0.71,0.58,2.48,3.48,2.75,1.5,2.16,3.81,2.01,1.03,0.37,0.51,0.92,0.56,0.65,1.44,2.54
0.82,5.7,0.42,0.54,3.17,3.71,4.08,1.48,1.98,3.56,2.39,1.09,0.56,0.3,0.79,0.37,0.77,2.14,0.84
0.47,3.86,0.46,0.98,2.87,3.19,2.11,1.02,2.67,5.25,2.4,1.5,0.56,0.41,0.84,0.43,0.94,2.31,0.44
1.2,4.91,1.02,0.86,1.78,3.08,1.44,0.88,3.01,4.06,2.26,1.07,0.33,0.38,0.85,0.31,0.82,1.98,1.43
0.26,4.2,0.43,0.66,2.91,3.11,2.32,2.6,2.28,5.4,2.35,1.03,0.63,0.34,0.84,0.7,1.17,2.86,1.29
0.38,3.99,0.72,1.59,0.88,3.52,3.69,1.09,2.68,3.84,1.93,1.16,0.37,0.41,0.76,0.49,0.89,2.56,0.46
1.11,5.07,0.76,1.03,2.61,3.1,2.84,0.51,2.68,4.91,1.9,1.01,0.71,0.49,0.84,0.86,0.77,2.35,1.29
0.72,5.19,0.58,1.05,3.14,3.63,1.79,2.58,2.06,6.46,2.04,0.98,0.33,0.36,1.28,0.33,0.96,2.79,0.67
0.62,5.85,0.78,0.64,1.3,3.51,4.44,2.93,1.51,8.08,2.35,1.49,0.39,0.52,0.82,0.53,1.17,3.07,4.01
